Brand Name,Brand,Garment Type,Price Point,Made in USA,Vibe,Notes,URL Raw,URL
LL Bean,LL Bean,Shoes,$$,Few,Casual,Duck Boot,https://www.llbean.com/?nav=gn-hp,https://www.llbean.com/?nav=gn-hp
Schott,Schott,Jeans/Denim,$$,Few,Luxury/Designer,,https://www.schottnyc.com/store/made-in-america,https://www.schottnyc.com/store/made-in-america
Schott,Schott,Jackets/Outerwear,$$$$$,Few,Luxury/Designer,,https://www.schottnyc.com/store/made-in-america,https://www.schottnyc.com/store/made-in-america
Schott,Schott,Belts,$,Few,Luxury/Designer,,https://www.schottnyc.com/store/made-in-america,https://www.schottnyc.com/store/made-in-america
J. Press,J. Press,Suits,$$$$$,Some,Formal,,https://jpressonline.com/collections/made-in-usa?view=64,https://jpressonline.com/collections/made-in-usa?view=64
J. Press,J. Press,Formalwear,$$$$$,Most,Formal,,https://jpressonline.com/collections/made-in-usa?view=64,https://jpressonline.com/collections/made-in-usa?view=64
J. Press,J. Press,Dress Shirts,$$,Some,Formal,,https://jpressonline.com/collections/made-in-usa?view=64,https://jpressonline.com/collections/made-in-usa?view=64
J. Press,J. Press,Trousers/Dress Pants,$$$,Some,Formal,,https://jpressonline.com/collections/made-in-usa?view=64,https://jpressonline.com/collections/made-in-usa?view=64
J. Press,J. Press,Blazers/Sport Coats,$$$$,Some,Formal,,https://jpressonline.com/collections/made-in-usa?view=64,https://jpressonline.com/collections/made-in-usa?view=64
Fairway & Greene,Fairway & Greene,Golf Shirts,$,Some,Casual,Stylish golf shirts,https://www.fairwayandgreene.com/collections/made-in-the-usa,https://www.fairwayandgreene.com/collections/made-in-the-usa
Fairway & Greene,Fairway & Greene,Sweaters,$$,Few,Casual,,https://www.fairwayandgreene.com/collections/made-in-the-usa,https://www.fairwayandgreene.com/collections/made-in-the-usa
Liberty Shirt Co,Liberty Shirt Co,Dress Shirts,$$$,All,Formal,Custom,https://libertyshirtco.com/,https://libertyshirtco.com/
New England Shirt Company,New England Shirt Company,Sport Shirts,$$,All,Casual,,https://newenglandshirtco.com/,https://newenglandshirtco.com/
Hertling,Hertling,Trousers/Dress Pants,$$$,All,Formal,,https://www.hertlingusa.com/,https://www.hertlingusa.com/
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
